AQI,latitude,longitude
32.44897959183673,33.8025,-118.22
39.649315068493145,33.83062,-117.93845
35.98898071625345,33.901389,-118.205
40.88429752066116,33.925129999999996,-117.95264
39.076712328767115,33.95507,-118.43048999999999
44.1456043956044,34.010290000000005,-118.0685
40.719444444444434,34.051109999999994,-118.45636
35.99175824175824,34.066590000000005,-118.22688
40.994520547945214,34.067029999999995,-117.7514
52.903846153846146,34.132600000000004,-118.1272
55.76519337016575,34.136500000000005,-117.92391
60.727528089887635,34.14435,-117.85036
57.35654596100279,34.19925,-118.53276
41.78082191780822,34.210169,-118.870509
49.25824175824176,34.276315999999994,-118.683685
62.50696378830085,34.38344,-118.5284
44.27272727272727,34.404281,-118.80998
50.43417366946779,34.669739,-118.130511
